Categoria disciplinare,Periodo,Data inizio,Data fine,Totale articoli,Non ritrattati,Ritrattati,% ritrattati,Correction count,% correction,Erratum count,% erratum,Correction + Erratum proxy,% correction + erratum proxy
Medicine & Health Sciences,Pre-Covid 2016-2017,2016-01-01,2017-12-31,3376460,3374554,1906,0.0564,24284,0.7192,163,0.0048,24447,0.7240
Medicine & Health Sciences,Covid 2020-2021,2020-01-01,2021-12-31,4077856,4071852,6004,0.1472,35776,0.8773,263,0.0064,36039,0.8838
Medicine & Health Sciences,Post-Covid 2024-2025,2024-01-01,2025-12-31,4048843,4043886,4957,0.1224,36983,0.9134,485,0.0120,37468,0.9254
Life Sciences,Pre-Covid 2016-2017,2016-01-01,2017-12-31,2508770,2506575,2195,0.0875,10884,0.4338,94,0.0037,10978,0.4376
Life Sciences,Covid 2020-2021,2020-01-01,2021-12-31,2807831,2802448,5383,0.1917,17964,0.6398,127,0.0045,18091,0.6443
Life Sciences,Post-Covid 2024-2025,2024-01-01,2025-12-31,2361343,2357759,3584,0.1518,14193,0.6011,179,0.0076,14372,0.6086
Physical Sciences,Pre-Covid 2016-2017,2016-01-01,2017-12-31,4126115,4124013,2102,0.0509,32925,0.7980,145,0.0035,33070,0.8015
Physical Sciences,Covid 2020-2021,2020-01-01,2021-12-31,4348361,4341637,6724,0.1546,40377,0.9286,167,0.0038,40544,0.9324
Physical Sciences,Post-Covid 2024-2025,2024-01-01,2025-12-31,4166121,4160734,5387,0.1293,43069,1.0338,564,0.0135,43633,1.0473
Engineering,Pre-Covid 2016-2017,2016-01-01,2017-12-31,2091141,2090288,853,0.0408,12365,0.5913,41,0.0020,12406,0.5933
Engineering,Covid 2020-2021,2020-01-01,2021-12-31,2264199,2259461,4738,0.2093,16644,0.7351,48,0.0021,16692,0.7372
Engineering,Post-Covid 2024-2025,2024-01-01,2025-12-31,2263320,2260526,2794,0.1234,18624,0.8229,142,0.0063,18766,0.8291
Computer Science,Pre-Covid 2016-2017,2016-01-01,2017-12-31,4742371,4741025,1346,0.0284,26578,0.5604,139,0.0029,26717,0.5634
Computer Science,Covid 2020-2021,2020-01-01,2021-12-31,4486290,4476336,9954,0.2219,37514,0.8362,190,0.0042,37704,0.8404
Computer Science,Post-Covid 2024-2025,2024-01-01,2025-12-31,4669908,4663232,6676,0.1430,50712,1.0859,494,0.0106,51206,1.0965
Social Sciences,Pre-Covid 2016-2017,2016-01-01,2017-12-31,3781423,3780542,881,0.0233,12451,0.3293,98,0.0026,12549,0.3319
Social Sciences,Covid 2020-2021,2020-01-01,2021-12-31,4148982,4143775,5207,0.1255,20208,0.4871,141,0.0034,20349,0.4905
Social Sciences,Post-Covid 2024-2025,2024-01-01,2025-12-31,3936487,3932947,3540,0.0899,20570,0.5225,213,0.0054,20783,0.5280
Economics & Management,Pre-Covid 2016-2017,2016-01-01,2017-12-31,1868093,1867730,363,0.0194,7863,0.4209,35,0.0019,7898,0.4228
Economics & Management,Covid 2020-2021,2020-01-01,2021-12-31,2062759,2059872,2887,0.1400,10627,0.5152,40,0.0019,10667,0.5171
Economics & Management,Post-Covid 2024-2025,2024-01-01,2025-12-31,1975251,1972795,2456,0.1243,10271,0.5200,69,0.0035,10340,0.5235
Humanities,Pre-Covid 2016-2017,2016-01-01,2017-12-31,3167049,3166649,400,0.0126,7572,0.2391,67,0.0021,7639,0.2412
Humanities,Covid 2020-2021,2020-01-01,2021-12-31,3172438,3170058,2380,0.0750,10409,0.3281,87,0.0027,10496,0.3308
Humanities,Post-Covid 2024-2025,2024-01-01,2025-12-31,2226044,2224682,1362,0.0612,9108,0.4092,112,0.0050,9220,0.4142
